BuildingType,PrimaryPropertyType,ZipCode,Neighborhood,Building_age,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,%_LargestPropertyUseType,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SourceEUI(kBtu/sf),%_GFAParking,%_GFABuilding,Nb_PropertyUseTypes
NonResidential,Small- and Mid-Sized Office,98105.0,NORTHEAST,27,1.0,2,20384,Office,25021.0,1.227482339089482,1791071.375,0.0,1760118.0,30954.0,13.91,222.1999969,0.0,1.0,1
NonResidential,Retail Store,98105.0,NORTHEAST,60,1.0,2,54284,Retail Store,52784.0,0.9723675484488984,6778694.0,0.0,6424200.0,354493.0,63.61,375.7000122,0.0,1.0,2
NonResidential,Retail Store,98105.0,NORTHEAST,60,1.0,1,23409,Retail Store,21909.0,0.935922081250801,2545405.0,0.0,2314166.0,231239.0,28.41,320.7999878,0.0,1.0,2
NonResidential,Hotel,98105.0,NORTHEAST,55,2.0,2,24100,Hotel,30910.0,1.282572614107884,1587454.75,0.0,817987.0,769468.0,46.57,109.1999969,0.0,1.0,1
NonResidential,Other,98121.0,DOWNTOWN,89,1.0,4,32356,Financial Office,25876.0,0.7997280257139325,1857154.75,882630.6875,974524.0,0.0,74.92,127.4000015,0.0,1.0,2
NonResidential,Hotel,98121.0,DOWNTOWN,56,1.0,7,61180,Hotel,61180.0,1.0,3993913.25,0.0,1859869.0,2134044.0,126.3,132.1000061,0.2118339326577313,0.7881660673422687,1
NonResidential,Small- and Mid-Sized Office,98121.0,DOWNTOWN,38,1.0,5,43506,Office,32569.0,0.7486093872109594,3460275.5,0.0,1834098.0,1626177.0,99.15,229.3000031,0.258585022755482,0.741414977244518,2
NonResidential,Worship Facility,98115.0,Northwest,106,1.0,2,23931,Worship Facility,23931.0,1.0,496477.3125,0.0,167075.0,329402.0,18.66,36.40000153,0.0,1.0,1
NonResidential,Worship Facility,98103.0,Northwest,68,1.0,2,21393,Worship Facility,21393.0,1.0,845961.375,0.0,266359.0,579602.0,32.64,67.5,0.0,1.0,1
NonResidential,Mixed Use Property,98144.0,SOUTHEAST,26,1.0,2,47560,Distribution Center,23146.0,0.4866694701429773,1132489.625,0.0,583296.0,549194.0,33.23,51.09999847,0.0,1.0,3
NonResidential,Senior Care Community,98104.0,EAST,10,1.0,6,62334,Senior Care Community,35696.0,0.572656976930728,1076733.25,0.0,481168.0,595565.0,34.98,41.59999847,0.0,1.0,3
NonResidential,K-12 School,98121.0,DOWNTOWN,59,1.0,2,21600,K-12 School,21600.0,1.0,1261536.75,0.0,609724.0,651813.0,38.87,120.3000031,0.0,1.0,1
NonResidential,K-12 School,98101.0,DOWNTOWN,21,1.0,3,22860,K-12 School,22860.0,1.0,931148.625,0.0,931148.0,0.0,6.49,127.9000015,0.0,1.0,1
NonResidential,Worship Facility,98105.0,NORTHEAST,44,1.0,1,26366,Worship Facility,26386.0,1.0007585526814837,888031.875,0.0,323802.0,564230.0,32.22,61.0,0.0,1.0,2
NonResidential,Worship Facility,98118.0,SOUTHEAST,51,1.0,2,21732,Worship Facility,21732.0,1.0,860364.1875,0.0,479159.0,381205.0,23.59,87.69999695,0.0,1.0,1
NonResidential,Retail Store,98105.0,NORTHEAST,116,1.0,3,32960,Retail Store,32960.0,1.0,813641.0,0.0,813641.0,0.0,5.67,77.5,0.0,1.0,1
NonResidential,Hotel,98105.0,NORTHEAST,86,1.0,3,20571,Hotel,20571.0,1.0,716279.6875,0.0,716279.0,0.0,4.99,109.3000031,0.0,1.0,1
NonResidential,Worship Facility,98105.0,NORTHEAST,90,1.0,2,47992,Worship Facility,37800.0,0.7876312718786465,3040195.5,0.0,934028.0,2106168.0,118.37,107.1999969,0.0,1.0,2
NonResidential,Residence Hall,98105.0,NORTHEAST,23,1.0,3,28572,Residence Hall/Dormitory,22000.0,0.7699846003079939,2717863.25,0.0,1187175.0,1530688.0,89.57,242.5,0.0,1.0,2
NonResidential,Worship Facility,98115.0,NORTHEAST,16,1.0,2,31386,Worship Facility,30000.0,0.9558401835213153,1128179.125,0.0,710478.0,417701.0,27.14,89.0,0.0,1.0,1
